url;fornecedor;nome;preco;descricao;dimensoes;fotos
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=3715;Atacadao;BELICHE JA FLORIPA BRANCO;R$ 1.269,90;O berço Floripa da J&A é uma excelente opção de mobiliário de quarto infantil. Dimensões Altura: 150 cm Largura: 97 cm Profundidade: 193,6 cm Garantia: 03 meses;Altura: 150 cm | Largura: 97 cm | Profundidade: 193,6 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/c2099bfa10d9.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/3cecd195d751.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=4216;Atacadao;BELICHE JA FLORIPA JEQUITIBA;R$ 1.269,90;O berço Floripa da J&A é uma excelente opção de mobiliário de quarto infantil. Dimensões Altura: 150 cm Largura: 97 cm Profundidade: 193,6 cm Garantia: 03 meses;Altura: 150 cm | Largura: 97 cm | Profundidade: 193,6 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/9ddcb4318def.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=542;Atacadao;BELICHE JA PRISMA PLUS JEQUITIBA;R$ 849,90;A beliche Prisma da J&A é ideal para quem procura um design clean e elegante. Reforçada com estrado de eucaliptus e pinus, com escada de dois degraus e lateral de proteção, garantem resistência e segurança. Material Principal: MDF (100%) Dimensões Altura: 152 cm Largura: 196 cm Profundidade: 95 cm Garantia: 03 meses;Altura: 152 cm | Largura: 196 cm | Profundidade: 95 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/b680be8a8b56.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/873e629ad630.jpg
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=3847;Atacadao;CAMA JA AUXILIAR ELEGANZA BRANCO;R$ 299,90;A Cama Auxiliar da J&A dará muito charme para o seu quarto. OBS: Não acompanha colchão Tamanho: Solteiro Material: MDP Estrado: Madeira de pinus Pintura: UV com acabamento texturizado Rodizios: 04 Dimensões Altura: 26 cm Largura: 188 cm Comprimento: 90,4 cm Garantia: 03 meses;Altura: 26 cm | Largura: 188 cm | Comprimento: 90,4 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/0861f638705c.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/9f5aae590b98.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche/cama-ja-solteiro-lady-nature-off-white;Atacadao;CAMA JA SOLTEIRO LADY NATURE/OFF WHITE;R$ 729,90;A cama Lady da J&A vai deixar seu quarto mais bonito e elegante. OBS: NÃO ACOMPANHA COLCHÃO Material: MDF/MDP Acabamento: Pintura UV Tipo de Colchão: Solteiro Gavetas: 01 Ripas em MDF: sim Pés cabeceira e peseira com protetor de umidade: sim Dimensões Altura: 103,6 cm Largura: 109,3 Profundidade: 103,6 cm Garantia: 03 Meses;Altura: 103,6 cm | Profundidade: 103,6 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/ca533e66c009.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=3714;Atacadao;CAMA JA SOLTEIRO PRISMA JEQUITIBA/OFF WHITE;R$ 499,90;A cama Prisma da J&A vai deixar seu quarto mais bonito e elegante. Esta cama suporta colchão de casal. Material: MDF Material dos pés: MDF Pintura em UV: sim Dimensões Altura: 93 cm Largura: 93 cm Profundidade: 194 cm Garantia: 03 meses ATENÇÃO: Este produto não é vendido com o colchão. Colchão vendido separadamente.;Altura: 93 cm | Largura: 93 cm | Profundidade: 194 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/a61e7637938f.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/bd4cf97fa6a8.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=4505;Atacadao;CAMA LOPAS CASAL LOOP BEGE/CORANO AMENDOA CLEAN;R$ 1.399,90;Transforme seu quarto em um refúgio de conforto e sofisticação com a cama de casal Loop da Lopas. Especificações Material da Estrutura: MDF/MDP Estrado: MDF de 6 mm e travessões fixos Barras Laterais: MDF 25mm Tamanho do Colchão Indicado: 138x188 cm Painéis da peseira e cabeceira estofados: Sim Cantos arredondado: Sim Dispositivo antirruido:Sim Dimensões Altura: 120 cm Largura: 151 cm Profundidade: 207 cm Garantia: 03 meses;Altura: 120 cm | Largura: 151 cm | Profundidade: 207 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/9cbb43406a49.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/183bbf2314f7.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=2165;Atacadao;CAMA LOPAS SOLTEIRO ATHENAS PLUS S/AUXILIAR AMENDOA CLEAN /OFF WHITE;R$ 849,90;A cama Athenas plus de solteiro da Lopas vai deixar seu quarto mais bonito e elegante. Esta cama comporta colchão de 88 X 188 cm. Material Principal: MDP/MDF Acompanha colchão: NÃO Dispositivo Antirruído nos travessões da cama: sim Pés robustos: 04 Painel cabeceira com detalhes: sim Estrado com chapa de HDF: sim Dimensões Altura: 112,5 cm Largura: 98 cm Profundidade: 205 cm Garantia: 03 meses;Altura: 112,5 cm | Largura: 98 cm | Profundidade: 205 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/573eea43ecde.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/07e628f712c1.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=1731;Atacadao;BELICHE JA ABSOLUT BRANCO;R$ 1.099,90;A beliche Absolut da J&A dará muito charme para o seu quarto. Para este produto é indicado colhão de 88 X 188 cm. Material principal: 100 % MDF Acabamento em pintura Uv: sim Parafusos aparente: sim Acompanha colchão: NÃO Dimensões Altura: 161,5 cm Largura: 201,5 cm Profundidade: 97 cm Garantia: 03 meses;Altura: 161,5 cm | Largura: 201,5 cm | Profundidade: 97 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/5983a3018804.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/a37e5fba4e15.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=1732;Atacadao;BELICHE JA ABSOLUT JEQUITIBA;R$ 1.099,90;A beliche Absolut da J&A dará muito charme para o seu quarto. Para este produto é indicado colhão de 88 X 188 cm. Material principal: 100 % MDF Acabamento em pintura Uv: sim Parafusos aparente: sim Acompanha colchão: NÃO Dimensões Altura: 161,5 cm Largura: 201,5 cm Profundidade: 97 cm Garantia: 03 meses;Altura: 161,5 cm | Largura: 201,5 cm | Profundidade: 97 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/3d9164ce42c7.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/ced3e7270f76.webp
